,kategori,P@1,P@2,P@3,P@4,P@5,P@6,P@7,P@8,P@9,P@10
@metrotvnews,News,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.7778,0.7
@Audrey-A,Animals,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.7778,0.7
@BimbelBrilian,Education,1.0,1.0,1.0,1.0,1.0,1.0,0.8571,0.75,0.6667,0.6
@LuckyHakimChannel,Animals,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.7778,0.7
@GadgetIn,Gadgets,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.7778,0.7
@AttaHalilintar,Entertainment,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.7778,0.7
@ZeniusEducation,Education,1.0,1.0,1.0,1.0,1.0,1.0,0.8571,0.75,0.7778,0.7
@AfifYulistian,Gaming,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.7778,0.7
@Anak.Kuliner,Food,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.7778,0.7
@GarasiDrift,Automotive,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.7778,0.7
@ariefmuhammaddd,Entertainment,0.0,0.0,0.3333,0.25,0.4,0.5,0.5714,0.5,0.4444,0.5
@ArisSportTv,Sports,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.7778,0.7
@motomobitv,Automotive,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.7778,0.7
@RCTISports,Sports,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.7778,0.7
@WindahBasudara,Gaming,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.7778,0.7
@indomusikgram,Music,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111,0.1
@dennycaknan6996,Music,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.7778,0.7
@KUBILER,Food,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.7778,0.7
@OfficialiNews,News,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.7778,0.7
@DKIDchannel,Gadgets,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.7778,0.7
--- AVERAGE ---,AVERAGE,0.9,0.9,0.9167,0.9125,0.92,0.925,0.9143,0.8,0.7222,0.655
