,@AfifYulistian,@AlshadAhmad,@Anak.Kuliner,@AquariusMusikindo,@ArisSportTv,@AttaHalilintar,@Audrey-A,@AutonetMagz,@BeemzAryo,@BimbelBrilian,@BoengkoesNetwork,@BrandonKentEverything,@CNBC_ID,@CNNIDOFFICIAL,@CoachJustinl28,@DHIARCOM,@DKIDchannel,@Dewa19,@DuniaBinatangLiar,@Dunia_Alam,@DylandPROS,@FitraEri,@FrontaLGaming,@GadgetGaul,@GadgetIn,@GarasiDrift,@HujanTandaTanya,@IBLTV,@JagatReview,@JessNoLimit,@Judika.Entertainment,@K2G,@KUBILER,@Kenandgrat,@KokBisa,@LuckyHakimChannel,@MILYHYA,@MNCTV_Sports,@MajelisLucu,@MalakaProjectid,@MamankKuliner,@Mas-Wahid,@Melkibajaj,@Miawaug,@MusicaStudios,@NagaswaraOfficial,@NarasiNewsroom,@NexCarlos,@OTOMOTIFTV,@OfficialNoahMusic,@OfficialiNews,@Otodriver,@PANJIPETUALANG_REAL,@PSSITV,@PricebookIndonesia,@RCTISports,@RansEntertainment,@SPOTV.Indonesia,@SPROSULEPRODUCTIONS,@SatuPersenIndonesianLifeschool,@SiKutuBuku,@Sobat_HAPE,@SportsChannelIndonesia,@TirtaPengPengPeng,@TrinityOptimaProduction,@VINDES,@WindahBasudara,@YoutuberCupu,@ZeniusEducation,@ZonaJuaraSports,@amarpdchannel,@ariefmuhammaddd,@carmudiID,@corbuzier,@deHakims,@deHakimsAviaryIrfanHakim,@dennycaknan6996,@farida.nurhan,@felicia.tjiasaka,@indomusikgram,@iwanbanaranblog,@kompastv,@letdahyper,@liputan6_news,@metrotvnews,@motomobitv,@nihongomantappu,@officialbaliunited,@projectreview,@radityadika,@raisa6690,@riasukmawijaya,@ridwanhr,@rrq_lemon,@tanboykun,@taulany_tv,@tempovideochannel,@tribunnews,@tvOneNews,@ybrap
@AfifYulistian,0.9999999,0.15730694,0.16877353,-0.0986076,0.0723981,0.20506842,0.2940089,0.021365382,0.18779582,0.2306087,0.17228967,0.8498367,-0.13699363,-0.16971743,-0.03622801,0.4064945,0.42297548,0.03604835,0.105031334,0.06619137,0.9018048,0.08435879,0.86739075,0.39437312,0.49536675,0.34120706,0.20392743,0.14268571,0.3904559,0.8421569,-0.120838106,0.4371484,0.15878609,0.19456948,0.1801422,0.45580825,0.83850515,-0.010365101,0.03269481,0.15266356,0.22286396,0.06948664,0.1535033,0.8814101,-0.09870325,-0.08259216,-0.12383792,0.1848955,0.09315696,-0.06987761,-0.1768829,0.0023969337,0.15676291,-0.04751661,0.409716,0.05320077,-0.07319282,-0.014814728,-0.040705536,0.1651288,0.17032611,0.50752234,-0.023606215,0.34306654,-0.0970722,0.023906507,0.821461,0.37423128,0.16310364,-0.0051327925,0.19346562,0.30118454,0.085509256,0.0097488705,0.12477052,0.11302842,0.062695265,0.17485353,0.23567444,0.3787587,0.03502847,-0.17466202,0.8963571,-0.1705295,-0.06829944,0.08413009,0.31589866,-0.031193035,0.40246192,0.051066257,-0.11615804,0.14748505,0.08177593,0.844281,0.18853536,-0.07810865,-0.17437674,-0.19489962,-0.17134959,0.33072704
@AlshadAhmad,0.15730694,1.0,0.17131448,-0.094750434,0.15834801,0.15961413,0.9062348,-0.071530774,0.9701409,-0.028044952,0.08964675,0.04904878,-0.08771157,-0.037537258,-0.12988842,-0.09954357,-0.08786461,-0.13281813,0.95367587,0.92784864,0.0890475,-0.040056784,0.31442434,-0.090646505,-0.064377196,0.047899693,0.033189997,-0.06246434,-0.120231286,0.060372125,-0.09767434,-0.094856456,0.13738722,0.06875028,0.14713544,0.8257181,-0.008163133,-0.10549415,0.08030452,0.045687433,0.09153545,-0.02326064,0.10546759,0.03472721,-0.09498054,-0.092344835,-0.063063085,0.10569449,0.010095502,-0.07165392,-0.10402563,-0.075566866,0.9663605,-0.12184525,-0.10639171,-0.05686862,0.12010296,-0.09817694,0.08635369,0.026767606,0.051365238,-0.07851294,-0.11450685,0.11726751,-0.09606511,0.10136452,0.27514532,-0.096953005,-0.032554913,-0.099777706,0.9285124,0.0030748774,-0.022919381,0.009735808,0.946138,0.9532665,-0.101623625,0.15606096,0.029979497,0.13478121,-0.03898988,-0.07541935,0.1357935,-0.082774684,-0.13921243,-0.070098236,0.03715947,-0.09153435,-0.09825383,0.075818956,-0.055274554,0.09657044,-0.022385797,0.04359655,0.11809481,0.07234095,-0.04595785,-0.077762775,-0.10420628,-0.07016029
@Anak.Kuliner,0.16877353,0.17131448,1.0000001,-0.08103956,0.05995467,0.14973158,0.3307535,-0.033267524,0.21071053,0.12680122,0.9821722,-0.062898785,0.026665017,0.05934084,-0.01996293,-0.008611951,0.0853132,-0.052651383,0.060613245,0.053798653,0.012023022,-0.020537116,0.33429396,-0.0017100424,0.019382538,0.085962325,0.18391046,-0.029414188,-0.009552576,-0.0048588607,-0.08349689,-0.020711571,0.98214257,0.97861207,0.1867162,0.18224582,-0.043754898,-0.024073776,0.056276303,0.1694529,0.9818498,0.014949384,0.96618783,-0.019798916,-0.07039679,-0.09332639,0.02325776,0.9814578,0.01559617,-0.07283069,0.03207414,-0.03754039,0.16925976,-0.015393789,-0.0051387884,0.023422584,0.10235348,-0.02676139,0.0060711736,0.17175797,0.19227937,-0.00066145696,-0.02266369,0.25304607,-0.091623105,0.09366533,0.12746224,-0.02576426,0.16333771,-0.021950716,0.16388796,0.22041011,0.01854356,-0.060781665,0.16019543,0.13715078,-0.014917004,0.9750689,0.22568686,0.29149514,-0.0065864064,0.023999553,0.022799462,0.018059973,0.024121473,-0.04643985,0.4354933,-0.0005427068,-0.0012705885,0.11380391,-0.059979483,0.94759613,0.016655937,-0.012362278,0.9829981,-0.05319159,0.045719374,0.022701576,0.04752736,-0.07952829
@AquariusMusikindo,-0.0986076,-0.094750434,-0.08103956,1.0,-0.111541905,0.18953034,-0.12594289,-0.0049498864,-0.044103146,-0.050371908,-0.06377246,-0.064025864,0.004606689,0.016357347,-0.0636585,-0.055201218,-0.08119629,0.9270735,-0.030535283,-0.049971826,-0.04155343,-0.018099258,-0.07914748,-0.044358034,-0.05447808,-0.08936481,-0.010921512,-0.025439657,-0.05299271,-0.03786885,0.98779064,-0.03724455,-0.059177563,-0.06187376,-0.04061841,0.010979015,0.044320032,-0.05766043,-0.022702951,-0.02016937,-0.071396895,-0.030477662,-0.022919785,0.002714375,0.9925487,0.99057597,0.007597517,-0.050350435,-0.14587134,0.9869114,0.008251555,-0.0010248427,-0.07669304,-0.03226094,-0.06250628,-0.0842309,0.024342727,-0.07099983,-0.021002196,-0.021163465,-0.015382393,-0.048710886,-0.050924122,-0.1062122,0.9950503,0.0143496785,-0.09756148,-0.024408113,-0.04665624,-0.05853133,-0.092624865,0.08027828,-0.041251834,0.054422315,-0.09107393,-0.085615516,0.77432156,-0.038134634,-0.038400844,0.3390947,-0.055621766,0.0120578855,-0.07087532,0.011816068,-0.012635348,-0.020423677,-0.12609383,-0.047570936,-0.043945916,0.050216552,0.9853493,0.007029659,-0.01796267,0.0029597247,-0.058170974,0.05023079,-0.0014598137,0.020873694,0.014388526,0.31254715
@ArisSportTv,0.0723981,0.15834801,0.05995467,-0.111541905,1.0000001,0.08622594,0.24860293,0.012343492,0.17771968,-0.02912477,0.0247891,0.13956018,-0.012456829,0.033342782,0.7444997,-0.2192095,-0.22247565,-0.03529196,0.12569678,0.0880545,0.05901955,-0.014330367,0.18757278,-0.20594513,-0.21486658,0.15033779,-0.0015525138,0.8487874,-0.22168145,0.06264745,-0.14123169,-0.21884745,0.05045718,0.010269489,-0.0009383182,0.15002045,0.111825675,0.75076073,0.10729808,0.004080005,0.017871317,0.008979494,0.05752829,0.0645967,-0.13755225,-0.13288975,0.03918593,0.02116357,0.027496014,-0.11508463,0.13869594,0.013815744,0.18961346,0.76945996,-0.21994156,0.7636696,0.10387914,0.77608573,0.10373091,-0.014295583,-0.008848816,-0.21261346,0.7624341,0.1096093,-0.13653527,0.18001175,0.17089647,-0.22740872,0.054706983,0.7580005,0.21314216,0.058369495,-0.03197923,0.09721817,0.16558063,0.1564476,-0.05331689,0.08037728,-0.01881333,0.022056349,0.04616322,0.029447172,0.110512644,0.029121375,0.22252285,-0.019976404,0.006308669,0.80146384,-0.22048238,0.097221375,-0.11413641,0.086902946,-0.002188,0.06561221,0.03403362,0.10739359,0.05312655,0.04781508,0.05740784,0.35941467
@AttaHalilintar,0.20506842,0.15961413,0.14973158,0.18953034,0.08622594,1.0,0.19694999,-0.056326598,0.16674867,0.32821402,0.13118695,0.18705831,-0.024853334,-0.0008195508,-0.044214267,-0.036475323,-0.022214789,0.2762654,0.16840503,0.14872849,0.2589929,-0.015086027,0.2585302,-0.0821096,-0.006028695,0.07905642,0.45069343,0.08048101,-0.07109264,0.12524495,0.19308808,-0.05555662,0.117426865,0.13580877,0.46542162,0.39482903,0.207577,-0.12605764,0.78302354,0.47960687,0.14474909,-0.057244137,0.08325288,0.20054856,0.19230524,0.17551933,-0.046948336,0.1319023,-0.057073966,0.18715852,-0.013462178,-0.045101132,0.08900809,-0.051709644,-0.06653385,-0.060957395,0.83367455,-0.10327261,0.79482603,0.44380856,0.4331561,-0.017062206,-0.082196146,0.6510656,0.20127401,0.8342258,0.5145261,-0.06544554,0.4979235,-0.10714732,0.088459805,0.53157574,-0.025082268,0.7983717,0.16406661,0.13326843,0.5681589,0.09399964,0.3897313,0.81863725,-0.03801699,-0.06935823,0.21332207,-0.09326925,-0.07354249,0.02944753,0.51041037,-0.07232088,-0.07573143,0.7811831,0.17123075,0.07242075,-0.023075651,0.16904145,0.17340288,0.76130986,-0.02575314,-0.040141754,-0.015498757,0.5364508
@Audrey-A,0.2940089,0.9062348,0.3307535,-0.12594289,0.24860293,0.19694999,1.0000001,-0.021967053,0.90321046,0.011015558,0.24965087,0.15912299,0.019883761,0.069661796,-0.11275989,-0.065618806,-0.036600564,-0.12148873,0.84429574,0.8243571,0.21205673,0.01623447,0.4570592,-0.054411627,-0.019318486,0.17666307,0.051224105,0.005763354,-0.07864125,0.19608432,-0.13864627,-0.060328078,0.3026309,0.23864028,0.13150944,0.8611026,0.12977815,-0.08659508,0.07113594,0.05951515,0.24984086,0.05248131,0.27609468,0.17800221,-0.12772462,-0.12863848,0.052505847,0.260467,0.064386345,-0.10028078,0.012368947,-0.027592212,0.91896194,-0.10081286,-0.06395597,-0.0243995,0.088882715,-0.07581281,0.046788506,0.04206147,0.056712322,-0.030797362,-0.092846215,0.18935171,-0.13000816,0.091891184,0.38773268,-0.07062039,0.018297408,-0.07974121,0.9442631,0.12049865,0.03683251,-0.009403955,0.8501085,0.85618424,-0.0896167,0.32721305,0.07646581,0.19106896,0.009299674,0.032187335,0.27045965,0.018798707,-0.0066247024,-0.018680189,0.10104807,-0.06732662,-0.06439738,0.07464059,-0.093454614,0.26902378,0.028214412,0.16362426,0.27456853,0.04279422,0.0565076,0.026323427,0.011136319,-0.018516053
@AutonetMagz,0.021365382,-0.071530774,-0.033267524,-0.0049498864,0.012343492,-0.056326598,-0.021967053,0.99999976,-0.058537688,-0.029561661,-0.028818665,-0.060452607,0.005251468,-0.025265157,0.040910054,0.060019895,0.09617272,0.080343425,-0.09506778,-0.09226076,-0.045552526,0.98531455,0.035401016,0.015336943,0.052033715,0.87509465,-0.08316977,0.005135426,0.07522234,-0.05368706,0.0033286759,0.059111215,-0.016350111,-0.028149813,-0.082742795,-0.0044651274,-0.026325252,-0.036661264,0.0048890887,-0.07038696,-0.049976133,0.9756563,-0.010575958,-0.043684058,0.008790039,0.010124239,-0.02089637,-0.027120098,0.9157952,-0.0007203263,-0.007953383,0.9973456,-0.077799186,-0.022291668,0.06736923,0.0029900689,-0.026208526,0.038082898,0.0078097847,-0.058964416,-0.07200516,0.08261469,-2.7453527e-05,-0.071361184,0.010311375,-0.026780922,-0.047883768,0.06276031,-0.060344007,-0.041834027,-0.012290022,0.6381316,0.9739907,0.020764412,-0.07904851,-0.08578998,0.020243157,-0.037327114,-0.058204554,-0.08052378,0.9784169,-0.008228721,-0.016813705,-0.036964994,0.05073611,0.9822233,-0.14309502,-0.004397938,0.012362825,-0.019670464,0.016232928,-0.025568303,0.9795436,-0.08086553,-0.06743452,0.022830715,-0.024232417,-0.026726779,-0.0012649791,0.116848424
@BeemzAryo,0.18779582,0.9701409,0.21071053,-0.044103146,0.17771968,0.16674867,0.90321046,-0.058537688,1.0000002,-0.06633115,0.13118389,0.06786992,-0.12357898,-0.0713861,-0.1339796,-0.11477588,-0.09923777,-0.08238268,0.9434377,0.8897224,0.11349183,-0.024452709,0.3758179,-0.10226434,-0.07237588,0.071983516,0.0029429551,-0.049572997,-0.13651045,0.090841204,-0.05328639,-0.105038345,0.18338224,0.11018742,0.116457924,0.8460108,0.021387294,-0.109200686,0.06504156,0.014442302,0.13322037,-0.007569334,0.16024739,0.06075973,-0.04754827,-0.04441355,-0.09625371,0.1518426,0.009497055,-0.019199282,-0.13552718,-0.06511744,0.9659693,-0.12964405,-0.1196232,-0.057555467,0.10667639,-0.10106295,0.065175556,-0.0040157177,0.023023557,-0.08568067,-0.1107752,0.084493816,-0.04670263,0.09018704,0.28170666,-0.107841164,-0.07553162,-0.10161389,0.92810184,0.020119552,-0.008749517,-0.0079657445,0.9352211,0.9357127,-0.06627666,0.21081421,0.0057393955,0.17727202,-0.027786631,-0.10809134,0.16265196,-0.11422983,-0.1690077,-0.061051823,0.0049608443,-0.09625229,-0.11039841,0.06831994,0.001821375,0.15232822,-0.006921812,0.073509626,0.16094933,0.057001654,-0.08195398,-0.11077403,-0.13817635,-0.05091224
@BimbelBrilian,0.2306087,-0.028044952,0.12680122,-0.050371908,-0.02912477,0.32821402,0.011015558,-0.029561661,-0.06633115,0.99999994,0.09688811,0.07730386,0.41954803,0.3875679,0.08012747,0.19044867,0.19676295,-0.06146192,0.024051825,0.06697663,0.14313419,-0.035631455,0.09162817,0.15012002,0.18326138,0.07315181,0.9352689,-0.030889444,0.20978168,0.07120039,-0.031155132,0.16325179,0.06849437,0.1347644,0.89362174,0.040646642,0.07377429,0.013119558,0.18588972,0.9198373,0.145253,-0.0005267513,0.070060536,0.1094133,-0.042746678,-0.06488458,0.37989438,0.093771115,0.014327036,-0.05601328,0.2820178,-0.01239345,-0.08749717,0.11477688,0.17406014,0.003926981,0.20892131,-0.011119364,0.15686372,0.9372671,0.9232516,0.18448067,0.0053628674,0.7718296,-0.040615186,0.22772121,0.3857479,0.15961154,0.86173105,0.007595965,-0.027002329,0.43005532,-0.002569122,0.22691922,-0.04774021,-0.05489273,0.03871412,0.081848904,0.93491894,0.24636519,-0.05809401,0.2891691,0.09377331,0.275278,0.35569775,-0.0052746683,0.76930976,0.056554288,0.16518533,0.3344416,-0.05984105,0.04732974,-0.023814702,0.04912653,0.14834253,0.14661786,0.38396463,0.2820887,0.32427603,0.062837765
