id,nama_channel,kategori,judul,link,link_channel,jumlah_tayangan,tanggal_upload,jumlah_pelanggan
1,@GadgetIn,Gadgets,Unboxing iPhone 17 Pro PALSU yang SANGAT MIRIP ASLINYA...,https://www.youtube.com/watch?v=zE5H9KQ_Hyg,https://www.youtube.com/@GadgetIn/videos,1700000,5 days ago,13800000
2,@GadgetIn,Gadgets,RAJA TERAKHIR HP SAMSUNG!,https://www.youtube.com/watch?v=snB4jbtscxU,https://www.youtube.com/@GadgetIn/videos,932000,10 days ago,13800000
3,@GadgetIn,Gadgets,Rp1.599 Juta! Ketika OPPO NIAT bikin HP murah...,https://www.youtube.com/watch?v=3KBJtbEAdzs,https://www.youtube.com/@GadgetIn/videos,802000,11 days ago,13800000
4,@GadgetIn,Gadgets,"Kalau Apple niat, iPhone bisa seworth it ini... - Review iPhone 17",https://www.youtube.com/watch?v=rkLpVyRGCPw,https://www.youtube.com/@GadgetIn/videos,1300000,2 weeks ago,13800000
5,@GadgetIn,Gadgets,Xiaomi pun ngeluh soal fenomena ini...,https://www.youtube.com/watch?v=Z4m_fwJ5eHQ&pp=0gcJCU0KAYcqIYzv,https://www.youtube.com/@GadgetIn/videos,1200000,2 weeks ago,13800000
6,@GadgetIn,Gadgets,Rekomendasi HP TERBAIK buat AKHIR TAHUN 2025!,https://www.youtube.com/watch?v=5i5ft8KMA8g&pp=0gcJCU0KAYcqIYzv,https://www.youtube.com/@GadgetIn/videos,2600000,3 weeks ago,13800000
7,@GadgetIn,Gadgets,HP paling KENCENG yang dijual resmi di INDONESIA!,https://www.youtube.com/watch?v=192BP29uYX4,https://www.youtube.com/@GadgetIn/videos,1000000,3 weeks ago,13800000
8,@GadgetIn,Gadgets,HP kecil ini LEBIH GANAS dari HP besarmu,https://www.youtube.com/watch?v=Mi6yaHDwIHw,https://www.youtube.com/@GadgetIn/videos,1400000,1 month ago,13800000
9,@GadgetIn,Gadgets,Speakernya bikin terharu... Unboxing + TES SPEAKER & GAMING POCO F8 Ultra!,https://www.youtube.com/watch?v=NLDqLtfApzE,https://www.youtube.com/@GadgetIn/videos,1200000,1 month ago,13800000
10,@GadgetIn,Gadgets,HP vivo sudah berubah... DAN SAYA SUKA! - vivo X300 Pro,https://www.youtube.com/watch?v=-I2STJrgxcA,https://www.youtube.com/@GadgetIn/videos,828000,1 month ago,13800000
11,@GadgetIn,Gadgets,"Makin KENCENG, makin BADAK - Review OPPO Find X9 Indonesia!",https://www.youtube.com/watch?v=v5xPqZfjNrY,https://www.youtube.com/@GadgetIn/videos,804000,1 month ago,13800000
