nama_channel,kategori,judul,judul_clean,judul_lower,judul_tokenized
@GadgetIn,Gadgets,Unboxing iPhone 17 Pro PALSU yang SANGAT MIRIP ASLINYA...,Unboxing iPhone 17 Pro PALSU yang SANGAT MIRIP ASLINYA...,unboxing iphone 17 pro palsu yang sangat mirip aslinya...,unboxing iphone 17 pro palsu yang sangat mirip aslinya . . .
@GadgetIn,Gadgets,RAJA TERAKHIR HP SAMSUNG!,RAJA TERAKHIR HP SAMSUNG!,raja terakhir hp samsung!,raja terakhir hp samsung !
@GadgetIn,Gadgets,Rp1.599 Juta! Ketika OPPO NIAT bikin HP murah...,Rp1.599 Juta! Ketika OPPO NIAT bikin HP murah...,rp1.599 juta! ketika oppo niat bikin hp murah...,rp1.599 juta ! ketika oppo niat bikin hp murah . . .
@GadgetIn,Gadgets,"Kalau Apple niat, iPhone bisa seworth it ini... - Review iPhone 17","Kalau Apple niat, iPhone bisa seworth it ini... - Review iPhone 17","kalau apple niat, iphone bisa seworth it ini... - review iphone 17","kalau apple niat , iphone bisa seworth it ini . . . - review iphone 17"
@GadgetIn,Gadgets,Xiaomi pun ngeluh soal fenomena ini...,Xiaomi pun ngeluh soal fenomena ini...,xiaomi pun ngeluh soal fenomena ini...,xiaomi pun ngeluh soal fenomena ini . . .
@GadgetIn,Gadgets,Rekomendasi HP TERBAIK buat AKHIR TAHUN 2025!,Rekomendasi HP TERBAIK buat AKHIR TAHUN 2025!,rekomendasi hp terbaik buat akhir tahun 2025!,rekomendasi hp terbaik buat akhir tahun 2025 !
@GadgetIn,Gadgets,HP paling KENCENG yang dijual resmi di INDONESIA!,HP paling KENCENG yang dijual resmi di INDONESIA!,hp paling kenceng yang dijual resmi di indonesia!,hp paling kenceng yang dijual resmi di indonesia !
@GadgetIn,Gadgets,HP kecil ini LEBIH GANAS dari HP besarmu,HP kecil ini LEBIH GANAS dari HP besarmu,hp kecil ini lebih ganas dari hp besarmu,hp kecil ini lebih ganas dari hp besarmu
@GadgetIn,Gadgets,Speakernya bikin terharu... Unboxing + TES SPEAKER & GAMING POCO F8 Ultra!,Speakernya bikin terharu... Unboxing + TES SPEAKER GAMING POCO F8 Ultra!,speakernya bikin terharu... unboxing + tes speaker gaming poco f8 ultra!,speakernya bikin terharu . . . unboxing + tes speaker gaming poco f8 ultra !
@GadgetIn,Gadgets,HP vivo sudah berubah... DAN SAYA SUKA! - vivo X300 Pro,HP vivo sudah berubah... DAN SAYA SUKA! - vivo X300 Pro,hp vivo sudah berubah... dan saya suka! - vivo x300 pro,hp vivo sudah berubah . . . dan saya suka ! - vivo x300 pro
@GadgetIn,Gadgets,"Makin KENCENG, makin BADAK - Review OPPO Find X9 Indonesia!","Makin KENCENG, makin BADAK - Review OPPO Find X9 Indonesia!","makin kenceng, makin badak - review oppo find x9 indonesia!","makin kenceng , makin badak - review oppo find x9 indonesia !"
@GadgetIn,Gadgets,HP BAGUS GA HARUS MAHAL - Unboxing iQOO Z10R Indonesia!,HP BAGUS GA HARUS MAHAL - Unboxing iQOO Z10R Indonesia!,hp bagus ga harus mahal - unboxing iqoo z10r indonesia!,hp bagus ga harus mahal - unboxing iqoo z10r indonesia !
