judul_tokenized,kategori,label_id
laptop kencang yg putih cantik : review lenovo legion 7i gen 10 ( 2025 ),Gadgets,5
rekomendasi 20+ tablet di bawah rp 10 juta akhir tahun 2025 : murah banget sampai kencang banget !,Gadgets,5
smart tv qled 4k terjangkau dr merek indonesia ! memuaskan hemat daya - review spc st50 qled,Gadgets,5
laptop gaming pakai amd 3d v-cache bisa sekenceng ini ? ! review asus rog strix g16 ( g614fr ),Gadgets,5
"15 laptop snapdragon : semua irit , makin kencang , kian terjangkau !",Gadgets,5
tecno bohong tentang bobot laptop ini ! review tecno megabook s14,Gadgets,5
hp oppo 1 jutaan ternyata bisa begini ! review oppo a6x,Gadgets,5
"laptop gaming paling mewah , paling premium dan paling kencang ! review lenovo legion 9i 18iax10",Gadgets,5
"rekomendasi 8 ows pilihan akhir 2025 : lebih nyaman , audio makin mantap !",Gadgets,5
tablet huawei yang layarnya makin spesial ! review huawei matepad 12x ( 2026 ),Gadgets,5
rekomendasi sepatu mulai dari 400 ribu rupiah ! - akhir tahun 2025,Gadgets,5
laptop workstation kencang buat profesional : review lenovo thinkpad p1 gen 8 ( 2025 ),Gadgets,5
internet 5g yg mudah digunakan bisa utk beberapa perangkat - review 5g cpe 5 dgn teknologi huawei,Gadgets,5
laptop convertible lokal paling ringan ! review axioo hype-r 5 flip oled,Gadgets,5
ows ( ke ) murah( an ) lagi ! upgrade menarik dgn dukungan aplikasi bluetooth 6 - review advan eclipse+,Gadgets,5
smartphone di atas 10 juta terbaik pilihan kami ! rekomendasi akhir tahun 2025,Gadgets,5
rahasia supaya laptop gaming bisa jadi desktop replacement ! seri mengenal laptop gaming part 7,Gadgets,5
kencang tanpa kompromi buat kreator : review asus proart p16 ( h7606ww ),Gadgets,5
tws terbaik 100 ribu s/d 4 jutaan rekomendasi akhir tahun 2025,Gadgets,5
rekomendasi sepatu lokal murah berkelas dibawah 400 ribu,Gadgets,5
15 headphone bluetooth terbaik di akhir tahun 2025,Gadgets,5
tablet samsung yang tangguh dan spesial ! review galaxy tab active5 pro,Gadgets,5
"keren , khas motorola banget , dgn prosesor baru dan baterai besar ! review moto g57 power",Gadgets,5
"saran belanja promo diskon smart tv , laptop , dan speaker polytron akhir 2025 !",Gadgets,5
"saran belanja produk anker 2025 : ada charger 250w , bahkan powerbank 200w !",Gadgets,5
smartphone rp 7- 10 juta terbaik pilihan kami ! rekomendasi akhir tahun 2025,Gadgets,5
"harga terjangkau , performa mumpuni , cocok buat sekolah , kuliah dan kerja - review infinix xbook b14",Gadgets,5
