,kategori,P@1,P@2,P@3,P@4,P@5,P@6,P@7,P@8,P@9,P@10
@Audrey-A,Animals,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.7778,0.7
@ariefmuhammaddd,Entertainment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.2222,0.3
@ZeniusEducation,Education,1.0,1.0,1.0,1.0,1.0,1.0,0.8571,0.75,0.6667,0.6
@RCTISports,Sports,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.7778,0.7
@dennycaknan6996,Music,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.7778,0.7
@tanboykun,Food,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.7778,0.7
@ybrap,Entertainment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.1111,0.1
@WindahBasudara,Gaming,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.7778,0.7
@FrontaLGaming,Gaming,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.7778,0.7
@OfficialiNews,News,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.7778,0.7
@ArisSportTv,Sports,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.7778,0.7
@TirtaPengPengPeng,Education,1.0,1.0,1.0,1.0,1.0,1.0,0.8571,0.75,0.6667,0.6
@motomobitv,Automotive,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.7778,0.7
@Anak.Kuliner,Food,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.7778,0.7
@Sobat_HAPE,Gadgets,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.7778,0.7
--- AVERAGE ---,AVERAGE,0.8667,0.8667,0.8667,0.8667,0.8667,0.8667,0.8476,0.7583,0.6815,0.62
