,@AfifYulistian,@AlshadAhmad,@Anak.Kuliner,@AquariusMusikindo,@ArisSportTv,@AttaHalilintar,@Audrey-A,@AutonetMagz,@BeemzAryo,@BimbelBrilian,@BoengkoesNetwork,@BrandonKentEverything,@CNBC_ID,@CNNIDOFFICIAL,@CoachJustinl28,@DHIARCOM,@DKIDchannel,@Dewa19,@DuniaBinatangLiar,@Dunia_Alam,@DylandPROS,@FitraEri,@FrontaLGaming,@GadgetGaul,@GadgetIn,@GarasiDrift,@HujanTandaTanya,@IBLTV,@JagatReview,@JessNoLimit,@Judika.Entertainment,@K2G,@KUBILER,@Kenandgrat,@KokBisa,@LuckyHakimChannel,@MILYHYA,@MNCTV_Sports,@MajelisLucu,@MalakaProjectid,@MamankKuliner,@Mas-Wahid,@Melkibajaj,@Miawaug,@MusicaStudios,@NagaswaraOfficial,@NarasiNewsroom,@NexCarlos,@OTOMOTIFTV,@OfficialNoahMusic,@OfficialiNews,@Otodriver,@PANJIPETUALANG_REAL,@PSSITV,@PricebookIndonesia,@RCTISports,@RansEntertainment,@SPOTV.Indonesia,@SPROSULEPRODUCTIONS,@SatuPersenIndonesianLifeschool,@SiKutuBuku,@Sobat_HAPE,@SportsChannelIndonesia,@TirtaPengPengPeng,@TrinityOptimaProduction,@VINDES,@WindahBasudara,@YoutuberCupu,@ZeniusEducation,@ZonaJuaraSports,@amarpdchannel,@ariefmuhammaddd,@carmudiID,@corbuzier,@deHakims,@deHakimsAviaryIrfanHakim,@dennycaknan6996,@farida.nurhan,@felicia.tjiasaka,@indomusikgram,@iwanbanaranblog,@kompastv,@letdahyper,@liputan6_news,@metrotvnews,@motomobitv,@nihongomantappu,@officialbaliunited,@projectreview,@radityadika,@raisa6690,@riasukmawijaya,@ridwanhr,@rrq_lemon,@tanboykun,@taulany_tv,@tempovideochannel,@tribunnews,@tvOneNews,@ybrap
@AfifYulistian,0.9999999,0.3244268,0.107637726,-0.013873822,0.0783783,0.3013056,0.31562814,0.21194205,0.34670147,0.09510942,0.09162946,0.8371095,-0.13621397,-0.15052117,-0.075489536,0.46235967,0.46689212,-0.046535734,0.26490718,0.20470569,0.9045352,0.3393627,0.86782634,0.41688246,0.4945638,0.44463044,0.15739913,0.18370411,0.42119092,0.83322173,-0.0961269,0.47716224,0.057359755,0.07718245,0.18468449,0.38545287,0.7890673,-0.10891256,0.36958444,0.10253796,0.1154211,0.22344106,0.1067128,0.84684765,-0.07625816,-0.09072312,-0.11211863,0.09573286,0.27422994,-0.007311081,-0.22566938,0.18389392,0.2736271,-0.10939341,0.435193,-0.119307935,0.23480272,-0.031389587,0.2075064,0.11267866,0.118965074,0.5412455,-0.10124972,0.2905963,-0.030990243,0.2135379,0.89404345,0.42660633,0.20215914,-0.11546209,0.2487507,0.33284205,0.2602904,0.32781225,0.31526136,0.29282475,0.10609821,0.12843676,0.24869844,0.38014495,0.28559473,-0.19433291,0.90328515,-0.19539249,-0.12460986,0.29522467,0.31784946,-0.051083144,0.42791927,0.32996416,-0.08385895,0.054470234,0.28181863,0.8398897,0.08678615,0.22339763,-0.18546459,-0.19160566,-0.18721008,0.5049764
@AlshadAhmad,0.3244268,1.0000002,0.38618404,-0.14629997,0.24602231,0.35525998,0.9279392,0.043558143,0.9664135,0.047508586,0.3037752,0.13207686,-0.033183288,0.06250478,-0.19744581,-0.018773975,0.017477594,-0.13221306,0.928538,0.8604426,0.29801306,0.13399631,0.55590594,-0.048536528,0.022088228,0.16948584,0.1583494,-0.15392241,-0.07039034,0.117284924,-0.1451836,-0.030014955,0.329377,0.27633098,0.35505515,0.91821253,0.111400425,-0.20707864,0.33513147,0.16758457,0.28078026,0.15705079,0.3930187,0.15790786,-0.15244138,-0.15965344,-0.009507316,0.3187136,0.12637126,-0.115926415,-0.10114192,0.026096426,0.95593834,-0.1923536,-0.041964166,-0.1878384,0.5162648,-0.19643134,0.30476767,0.13556756,0.1850481,0.005849258,-0.223301,0.3692011,-0.13877872,0.33964634,0.3829429,-0.031031452,0.05374254,-0.21354806,0.9041767,0.29713723,0.15132377,0.21994159,0.9092894,0.9249741,-0.033915922,0.522788,0.20560074,0.34267685,0.117783606,-0.03680173,0.35358742,-0.066456854,-0.09121881,0.0790434,0.43016714,-0.14326581,-0.04191113,0.29155004,-0.11760239,0.23796998,0.15247217,0.19786589,0.31872416,0.3136766,0.002291372,-0.039392836,-0.066597566,0.04630315
@Anak.Kuliner,0.107637726,0.38618404,1.0000002,-0.13182142,0.020544298,0.18776743,0.3062195,0.07126881,0.4094876,0.073188856,0.98095787,-0.08722396,-0.019476626,0.04998745,-0.10520536,-0.03127564,0.05286318,-0.065054156,0.23020363,0.15092771,0.06220486,0.11563673,0.31488693,-0.04198125,-0.0024371138,0.07230902,0.115915745,-0.19151585,-0.054117035,-0.07292036,-0.094071835,-0.045362063,0.9806138,0.97493744,0.22974795,0.2613424,-0.087233216,-0.15259548,0.24220595,0.17306092,0.97885966,0.12759449,0.93748105,-0.05075976,-0.10158714,-0.10619407,-0.07629387,0.9794707,0.07463062,-0.09482654,-0.06511788,0.052440614,0.31927508,-0.14504245,-0.033102673,-0.117481515,0.40719998,-0.15932909,0.22540998,0.13821514,0.14253758,-0.028306093,-0.12603103,0.24557114,-0.12531328,0.26541418,0.05426832,-0.036145918,0.06739584,-0.156297,0.30724823,0.34441024,0.16788232,0.10464831,0.32781327,0.3136847,0.036687605,0.94633865,0.16304217,0.3116095,0.09030326,-0.029832512,0.06392214,-0.046510838,-0.06974763,0.072321475,0.7387414,-0.11831817,-0.039157555,0.32644123,-0.08202904,0.905785,0.16882129,-0.028836813,0.9826585,0.17000674,-0.000511026,-0.025360245,-0.014147596,-0.10045689
@AquariusMusikindo,-0.013873822,-0.14629997,-0.13182142,0.99999976,-0.0816935,0.27509442,-0.113293044,-0.013280754,-0.08867417,0.027375467,-0.11493567,0.049880624,0.018165216,0.055530354,-0.08230179,-0.10254538,-0.13313097,0.95652044,-0.060782973,-0.07884863,0.06984547,-0.03514072,-0.07748248,-0.1127809,-0.10539093,-0.012497407,0.09091167,0.11443494,-0.10166064,0.05533681,0.97073936,-0.073068626,-0.110448085,-0.10406549,-0.031232525,-0.002273567,0.2794316,-0.040970318,0.13944632,0.06900193,-0.111679345,-0.044583015,-0.037552588,0.1953696,0.9795072,0.9770061,0.0884602,-0.10288346,-0.07574479,0.9805343,0.06923315,0.00244776,-0.14166492,-0.007466944,-0.11602327,-0.07754687,0.043056548,-0.017409818,0.10185794,0.035835188,0.027664136,-0.06601394,0.018354403,0.008818084,0.9897723,0.12446905,0.018906629,-0.09374006,0.09022797,-0.023688467,-0.114780515,0.14799733,-0.057724103,0.28722876,-0.13643868,-0.11690894,0.87351507,-0.13358228,-0.028330782,0.39211926,-0.07811727,0.0341811,-0.005404347,0.06259523,0.07539388,-0.003093897,-0.12845019,-0.047084346,-0.111735314,0.1862188,0.9717716,0.010697994,-0.03180966,0.07518566,-0.110253334,0.16168338,0.014986023,0.051261574,0.07460232,0.5315136
@ArisSportTv,0.0783783,0.24602231,0.020544298,-0.0816935,1.0000002,0.19338901,0.3309565,0.03128191,0.234944,0.04363188,-0.0042778626,0.21593428,0.19696987,0.25847355,0.6368147,-0.1851331,-0.1880104,-0.064508915,0.20189096,0.21534461,0.16913141,0.041248843,0.23651332,-0.18461227,-0.18498778,0.22205973,0.11375435,0.72994125,-0.1711977,0.13695045,-0.09073689,-0.19262421,0.025796812,-0.011519406,0.08592652,0.20733264,0.20761037,0.61650205,0.15459487,0.107532844,-0.026051734,0.09509698,0.061016344,0.16016814,-0.095749915,-0.097559564,0.2869565,-0.011193471,0.04716382,-0.08046168,0.2496272,0.036647554,0.29055935,0.67194164,-0.17730227,0.6697097,0.17083943,0.6678394,0.15265624,0.09236594,0.10184462,-0.18456346,0.6446764,0.2337665,-0.08178136,0.23903312,0.21457554,-0.19269407,0.12438034,0.6324276,0.33302575,0.13830854,0.016714077,0.14149076,0.17837608,0.17841649,-0.024251474,0.09620689,0.10097196,0.08918569,0.06742784,0.24542926,0.23901176,0.22873938,0.32598048,0.015254553,0.0827393,0.74528325,-0.19052023,0.09284781,-0.077596776,0.03889285,0.023322374,0.15210728,0.0005050991,0.16882241,0.25227553,0.24912481,0.25345004,0.18133463
@AttaHalilintar,0.3013056,0.35525998,0.18776743,0.27509442,0.19338901,1.0000005,0.2876224,0.20555548,0.4020969,0.11746405,0.19205849,0.24662223,0.13879375,0.2272593,-0.048796207,0.044589456,0.05859647,0.32147542,0.24901345,0.23895834,0.50958073,0.31348246,0.42638624,-0.03924777,0.049246088,0.32565582,0.32742912,0.12456796,-0.006383196,0.20024209,0.32566366,0.008164579,0.14110726,0.1822149,0.34728616,0.3848138,0.3099469,-0.19007641,0.8937446,0.3694451,0.1546808,0.20196204,0.25048006,0.25702348,0.2887345,0.2572846,0.17397138,0.19971135,0.2124241,0.32242042,0.113460526,0.20699438,0.21988355,-0.06320814,0.0053636804,-0.17696244,0.88723683,-0.11628972,0.8942472,0.29202875,0.2580556,0.057648793,-0.12618466,0.597859,0.3374129,0.9019687,0.49742758,0.013360916,0.40081638,-0.17734787,0.2262376,0.78014207,0.23710273,0.8996892,0.45794672,0.4155568,0.5659559,0.16409537,0.24032667,0.8608608,0.2524612,0.1336588,0.43615782,0.12247671,0.12879908,0.27764624,0.5850222,-0.09374466,-0.02936257,0.7941954,0.29313767,0.16198379,0.28929096,0.22618294,0.1822431,0.90183115,0.15398562,0.17847474,0.18733805,0.6096091
@Audrey-A,0.31562814,0.9279392,0.3062195,-0.113293044,0.3309565,0.2876224,1.0,0.08909106,0.88841593,0.011131819,0.21918905,0.1785277,0.07341392,0.15938726,-0.13717301,-0.03621321,-0.014167246,-0.10589948,0.90118384,0.87591934,0.29084802,0.1638817,0.51318085,-0.062627554,-0.006677976,0.26053345,0.11147112,-0.04283869,-0.0730495,0.17388272,-0.12847081,-0.048548922,0.26395786,0.20391762,0.24380288,0.91434115,0.1735363,-0.1327813,0.22764863,0.10205845,0.1967426,0.22538206,0.33002886,0.2265801,-0.12949955,-0.13764727,0.11384108,0.2210964,0.17242897,-0.0934932,0.012046114,0.07782252,0.9574837,-0.11877972,-0.049925737,-0.120258614,0.3793863,-0.11591998,0.18173367,0.07785048,0.11879405,-0.014631998,-0.13971473,0.35075596,-0.11649737,0.22464412,0.37400165,-0.05199419,0.037823398,-0.13868603,0.96163464,0.23884039,0.17562762,0.14326228,0.8129468,0.8577148,-0.03909955,0.4632734,0.17334178,0.24641913,0.15324369,0.07401447,0.3692043,0.040680274,0.047837913,0.1153379,0.2998841,-0.069458984,-0.06119637,0.17242709,-0.1001767,0.19950315,0.1641066,0.23574263,0.22732559,0.21461877,0.09720246,0.058055155,0.044223964,0.0942428
@AutonetMagz,0.21194205,0.043558143,0.07126881,-0.013280754,0.03128191,0.20555548,0.08909106,1.0000004,0.096516766,-0.0049140807,0.07866993,0.10690713,0.16051231,0.117618516,0.12048888,0.39809602,0.41357428,0.054680333,0.0010136105,-0.013444226,0.2350896,0.9642441,0.2716035,0.3191526,0.34799525,0.88119537,0.025805606,0.06355055,0.3536576,0.060256843,0.014374403,0.35300678,0.06446533,0.09087097,0.015202384,0.07832114,0.094565384,-0.11911094,0.2704444,0.06978384,0.06380551,0.9522037,0.13332143,0.056690242,0.019025553,-0.010939229,0.097005405,0.05283831,0.9570466,0.030198853,0.075581305,0.9958851,0.040280923,-0.07092668,0.38603488,-0.07907709,0.18824475,0.033796623,0.2484932,0.06836032,0.024063937,0.3648752,-0.016293697,0.17777649,0.009713763,0.22770828,0.18590756,0.3969077,0.12008344,-0.10842917,0.11397442,0.59460044,0.961848,0.248449,0.09170094,0.078607485,0.107240975,0.053617492,0.11222696,0.17688867,0.96078444,0.1085982,0.25706995,0.08023403,0.14837229,0.9833491,0.087373465,-0.06719013,0.2799451,0.15386519,0.025436658,0.06090043,0.969479,0.017300852,0.033009425,0.2687215,0.105838016,0.1047484,0.12045945,0.31146932
@BeemzAryo,0.34670147,0.9664135,0.4094876,-0.08867417,0.234944,0.4020969,0.88841593,0.096516766,1.0000001,0.0723363,0.3236573,0.14389955,-0.07579546,0.02430593,-0.19876641,-0.020017704,0.020539481,-0.06877074,0.90816325,0.7986652,0.32092825,0.18334405,0.60362047,-0.054199696,0.020608418,0.21880113,0.19700323,-0.15359585,-0.07924996,0.115647525,-0.083276235,-0.031153206,0.35125172,0.2991976,0.38967407,0.891558,0.13468082,-0.22625111,0.3730607,0.2044602,0.30282828,0.20761439,0.43899688,0.16452315,-0.09225862,-0.10164955,-0.045342468,0.3428444,0.17081022,-0.051758867,-0.15197523,0.07554021,0.92654663,-0.20762642,-0.04672224,-0.20762849,0.548316,-0.20982024,0.33714753,0.17293474,0.23013702,0.007610447,-0.23866938,0.3702103,-0.07575434,0.37590665,0.4021574,-0.027572505,0.0685618,-0.22987583,0.8812007,0.36470428,0.20352258,0.26182252,0.8957356,0.90098214,0.025443438,0.5547993,0.23982954,0.41615915,0.16337427,-0.08728342,0.3739635,-0.11365888,-0.13649753,0.12970632,0.45908934,-0.15915656,-0.051054545,0.34172565,-0.04832111,0.2761097,0.20696303,0.20575391,0.33837944,0.3569362,-0.040817082,-0.08486667,-0.11466026,0.10870451
@BimbelBrilian,0.09510942,0.047508586,0.073188856,0.027375467,0.04363188,0.11746405,0.011131819,-0.0049140807,0.0723363,1.0000002,0.07474886,0.006541867,0.3960445,0.41923124,0.1292109,0.11541094,0.11124486,0.010333802,0.13251092,0.16980034,0.15031731,0.002510061,0.10827776,0.13522658,0.10890463,0.056592308,0.9223219,0.037725087,0.17599416,0.04637683,0.034927525,0.12332384,0.061247993,0.09472079,0.8326056,0.05545976,0.13413882,0.04258538,0.22082835,0.88081837,0.09354723,0.032208435,0.094751954,0.07351574,0.023113385,0.0069043585,0.45717216,0.08714038,-0.03792236,0.052021552,0.24133116,0.0010051606,0.020161103,0.21961385,0.108173415,0.0010625552,0.11399625,0.0068781152,0.13609843,0.9198482,0.9224199,0.12546265,0.05982366,0.5601556,0.054746643,0.19728991,0.11948705,0.12680098,0.7912028,0.02559279,0.050541684,0.22827858,0.0067804586,0.21762706,0.04348004,0.019121978,0.06646138,0.03635122,0.883967,0.13141307,-0.06891416,0.2912218,0.08861115,0.30456275,0.31266335,-0.010928421,0.3719972,0.11204459,0.13908637,0.3795301,0.037968136,0.07734566,-0.011517813,3.7660357e-05,0.09085098,0.18828666,0.41752547,0.29751325,0.2959162,0.08052018
