nama_channel,kategori,jumlah_pelanggan,link_channel
@GadgetIn,Gadgets,13800000,https://www.youtube.com/@GadgetIn/videos
@JagatReview,Gadgets,2400000,https://www.youtube.com/@JagatReview/videos
@GadgetGaul,Gadgets,209000,https://www.youtube.com/@GadgetGaul/videos
@DHIARCOM,Gadgets,3250000,https://www.youtube.com/@Dhiarcom/videos
@DKIDchannel,Gadgets,1580000,https://www.youtube.com/@DKIDchannel/videos
@PricebookIndonesia,Gadgets,1990000,https://www.youtube.com/@PricebookIndonesia/videos
@Sobat_HAPE,Gadgets,1130000,https://www.youtube.com/@Sobat_HAPE/videos
@projectreview,Gadgets,587000,https://www.youtube.com/@projectreview/videos
@K2G,Gadgets,312000,https://www.youtube.com/@K2G/videos
@YoutuberCupu,Gadgets,776000,https://www.youtube.com/@YoutuberCupu/videos
@NexCarlos,Food,5220000,https://www.youtube.com/@NexCarlos/videos
@riasukmawijaya,Food,4620000,https://www.youtube.com/@riasukmawijaya/videos
@tanboykun,Food,20500000,https://www.youtube.com/@tanboykun/videos
@KUBILER,Food,1340000,https://www.youtube.com/@KUBILER/videos
@MamankKuliner,Food,1200000,https://www.youtube.com/@MamankKuliner/videos
@Melkibajaj,Food,421000,https://www.youtube.com/@Melkibajaj/videos
@BoengkoesNetwork,Food,1330000,https://www.youtube.com/@BoengkoesNetwork/videos
@farida.nurhan,Food,5290000,https://www.youtube.com/@farida.nurhan/videos
@Kenandgrat,Food,3010000,https://www.youtube.com/@Kenandgrat/videos
@Anak.Kuliner,Food,1790000,https://www.youtube.com/@Anak.Kuliner/videos
@Miawaug,Gaming,24900000,https://www.youtube.com/@Miawaug/videos
@WindahBasudara,Gaming,18200000,https://www.youtube.com/@WindahBasudara/videos
@JessNoLimit,Gaming,54300000,https://www.youtube.com/@JessNoLimit/videos
@DylandPROS,Gaming,16300000,https://www.youtube.com/@DylandPROS/videos
@rrq_lemon,Gaming,5760000,https://www.youtube.com/@rrq_lemon/videos
@BrandonKentEverything,Gaming,6850000,https://www.youtube.com/@BrandonKentEverything/videos
@letdahyper,Gaming,10300000,https://www.youtube.com/@letdahyper/videos
@MILYHYA,Gaming,5890000,https://www.youtube.com/@MILYHYA/videos
@AfifYulistian,Gaming,4830000,https://www.youtube.com/@AfifYulistian/videos
@FrontaLGaming,Gaming,12100000,https://www.youtube.com/@FrontaLGaming/videos
@RansEntertainment,Entertainment,26600000,https://www.youtube.com/@RansEntertainment/videos
@corbuzier,Entertainment,25100000,https://www.youtube.com/@corbuzier/videos
@VINDES,Entertainment,4960000,https://www.youtube.com/@VINDES/videos
@radityadika,Entertainment,11200000,https://www.youtube.com/@radityadika/videos
@ariefmuhammaddd,Entertainment,3200000,https://www.youtube.com/@ariefmuhammaddd/videos
@AttaHalilintar,Entertainment,31400000,https://www.youtube.com/@AttaHalilintar/videos
@MajelisLucu,Entertainment,2650000,https://www.youtube.com/@MajelisLucu/videos
@SPROSULEPRODUCTIONS,Entertainment,10300000,https://www.youtube.com/@SPROSULEPRODUCTIONS/videos
@taulany_tv,Entertainment,7890000,https://www.youtube.com/@taulany_tv/videos
@ybrap,Entertainment,3950000,https://www.youtube.com/@ybrap/videos
@KokBisa,Education,6120000,https://www.youtube.com/@KokBisa/videos
@TirtaPengPengPeng,Education,1570000,https://www.youtube.com/@TirtaPengPengPeng/videos
@SatuPersenIndonesianLifeschool,Education,3570000,https://www.youtube.com/@SatuPersenIndonesianLifeschool/videos
@nihongomantappu,Education,10700000,https://www.youtube.com/@nihongomantappu/videos
@ZeniusEducation,Education,339000,https://www.youtube.com/@ZeniusEducation/videos
@HujanTandaTanya,Education,594000,https://www.youtube.com/@HujanTandaTanya/videos
@SiKutuBuku,Education,503000,https://www.youtube.com/@SiKutuBuku/videos
@BimbelBrilian,Education,13000,https://www.youtube.com/@BimbelBrilian/videos
@MalakaProjectid,Education,1140000,https://www.youtube.com/@MalakaProjectid/videos
@felicia.tjiasaka,Education,1530000,https://www.youtube.com/@felicia.tjiasaka/videos
@FitraEri,Automotive,3210000,https://www.youtube.com/@FitraEri/videos
@ridwanhr,Automotive,3290000,https://www.youtube.com/@ridwanhr/videos
@motomobitv,Automotive,1620000,https://www.youtube.com/@motomobitv/videos
@Otodriver,Automotive,1500000,https://www.youtube.com/@Otodriver/videos
@AutonetMagz,Automotive,1470000,https://www.youtube.com/@AutonetMagz/videos
@Mas-Wahid,Automotive,1300000,https://www.youtube.com/@Mas-Wahid/videos
@GarasiDrift,Automotive,2160000,https://www.youtube.com/@GarasiDrift/videos
@iwanbanaranblog,Automotive,1150000,https://www.youtube.com/@iwanbanaranblog/videos
@carmudiID,Automotive,733000,https://www.youtube.com/@carmudiID/videos
@OTOMOTIFTV,Automotive,1110000,https://www.youtube.com/@OTOMOTIFTV/videos
@PSSITV,Sports,1470000,https://www.youtube.com/@PSSITV/videos
@IBLTV,Sports,310000,https://www.youtube.com/@IBLTV/videos
@officialbaliunited,Sports,108000,https://www.youtube.com/@officialbaliunited/videos
@SportsChannelIndonesia,Sports,11600,https://www.youtube.com/@SportsChannelIndonesia/videos
@SPOTV.Indonesia,Sports,713000,https://www.youtube.com/@SPOTV.Indonesia/videos
@MNCTV_Sports,Sports,2150000,https://www.youtube.com/@MNCTV_Sports/videos
@CoachJustinl28,Sports,1050000,https://www.youtube.com/@CoachJustinl28/videos
@ZonaJuaraSports,Sports,351000,https://www.youtube.com/@ZonaJuaraSports/videos
@RCTISports,Sports,711000,https://www.youtube.com/@RCTISports/videos
@ArisSportTv,Sports,32800,https://www.youtube.com/@ArisSportTv/videos
@MusicaStudios,Music,5250000,https://www.youtube.com/@MusicaStudios/videos
@TrinityOptimaProduction,Music,7140000,https://www.youtube.com/@TrinityOptimaProduction/videos
@NagaswaraOfficial,Music,10000000,https://www.youtube.com/@NagaswaraOfficial/videos
@AquariusMusikindo,Music,4179999,https://www.youtube.com/@AquariusMusikindo/videos
@OfficialNoahMusic,Music,3440000,https://www.youtube.com/@OfficialNoahMusic/videos
@Judika.Entertainment,Music,4520000,https://www.youtube.com/@Judika.Entertainment/videos
@dennycaknan6996,Music,6940000,https://www.youtube.com/@dennycaknan6996/videos
@indomusikgram,Music,1380000,https://www.youtube.com/@indomusikgram/videos
@raisa6690,Music,1080000,https://www.youtube.com/@raisa6690/videos
@Dewa19,Music,613000,https://www.youtube.com/@Dewa19/videos
@kompastv,News,19700000,https://www.youtube.com/@KompasTV/videos
@tvOneNews,News,16100000,https://www.youtube.com/@tvOneNews/videos
@CNNIDOFFICIAL,News,11900000,https://www.youtube.com/@CNNIDOFFICIAL/videos
@metrotvnews,News,11000000,https://www.youtube.com/@metrotvnews/videos
@tribunnews,News,15400000,https://www.youtube.com/@tribunnews/videos
@OfficialiNews,News,10300000,https://www.youtube.com/@OfficialiNews/videos
@liputan6_news,News,2670000,https://www.youtube.com/@liputan6_news/videos
@NarasiNewsroom,News,1660000,https://www.youtube.com/@NarasiNewsroom/videos
@CNBC_ID,News,2900000,https://www.youtube.com/@CNBC_ID/videos
@tempovideochannel,News,1880000,https://www.youtube.com/@tempovideochannel/videos
@PANJIPETUALANG_REAL,Animals,10900000,https://www.youtube.com/@PANJIPETUALANG_REAL/videos
@AlshadAhmad,Animals,6890000,https://www.youtube.com/@AlshadAhmad/videos
@deHakimsAviaryIrfanHakim,Animals,2060000,https://www.youtube.com/@deHakimsAviaryIrfanHakim/videos
@Audrey-A,Animals,1220000,https://www.youtube.com/@Audrey-A/videos
@LuckyHakimChannel,Animals,823000,https://www.youtube.com/@LuckyHakimChannel/videos
@BeemzAryo,Animals,2260000,https://www.youtube.com/@BeemzAryo/videos
@amarpdchannel,Animals,967000,https://www.youtube.com/@amarpdchannel/videos
@Dunia_Alam,Animals,342000,https://www.youtube.com/@Dunia_Alam/videos
@deHakims,Animals,10400000,https://www.youtube.com/@deHakims/videos
@DuniaBinatangLiar,Animals,620000,https://www.youtube.com/@DuniaBinatangLiar/videos
